iter,x0,x1,f(x)
0.0,1.0,3.0,400.000000000000
1.0,0.75,-0.5,112.953
2.0,0.498,0.004,6.173
3.0,0.437,0.126,0.73
4.0,0.417,0.167,0.345
5.0,0.415,0.17,0.343
6.0,0.415,0.17,0.343
