iter,x0,x1,f(x)
0.0,1.0,0.0,4.00000000000000
1.0,0.427,0.573,1.058
2.0,0.308,0.692,0.858
3.0,0.244,0.756,0.81
4.0,0.217,0.783,0.801
5.0,0.206,0.794,0.8
6.0,0.202,0.798,0.8
7.0,0.201,0.799,0.8
